Account Name,Customer Number_x,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude
National Marine Fisheries Service Aquarium,645,14-F-0010,Class F - Federal Research Facility,Active,,166 WATER STREET,,"WOODS HOLE, MA 02543",Barnstable,645,2024,,,,,,,,,,,41.5254302,-70.6740942
VA Medical Center (539),650,31-V-0005,Class V - Veteran's Administration Hospital,Active,,3200 VINE STREET (151),,"CINCINNATI, OH 45220",Hamilton,650,2024,,,,6,,,,,,,,
Edith Nourse Rogers Memorial Veteran's Hospital,652,14-V-0001,Class V - Veteran's Administration Hospital,Active,,"Room B30F-2, Building 70, Research Mailstop 151",,"BEDFORD, MA 01730",Middlesex,652,2024,,,,,,,,,,,,
VA Medical Center 561,655,22-V-0003,Class V - Veteran's Administration Hospital,Active,,385 TREMONT AVENUE,,"EAST ORANGE, NJ 07018",Essex,655,2024,,,,,,,,,,,40.7524227,-74.2354617
Dept Of Veterans Affairs Med Ctr (DEPT OF MEDICAL RESEARCH SERVICES - 151),658,23-V-0002,Class V - Veteran's Administration Hospital,Active,,3900  WOODLAND AVENUE,,"PHILADELPHIA, PA 19104",Philadelphia,658,2024,,,,,,,,,,,39.9475948,-75.1990791
VA Medical Center (528),662,21-V-0002,Class V - Veteran's Administration Hospital,Active,,3495 BAILEY AVENUE,,"BUFFALO, NY 14215",Erie,662,2024,,,,,,,,,,,42.9508623,-78.8122755
Stratton VA Medical Center (500),663,21-V-0008,Class V - Veteran's Administration Hospital,Active,,RESEARCH (151),113 HOLLAND AVENUE,"ALBANY, NY 12208",Albany,663,2024,,,,,,,,,,,,
VA Medical Center (670),665,21-V-0007,Class V - Veteran's Administration Hospital,Active,,800 IRVING AVENUE RESEARCH 151,,"SYRACUSE, NY 13210",Onondaga,665,2024,,,,,67,,,,,,,
VA Medical Center (541),668,31-V-0004,Class V - Veteran's Administration Hospital,Active,,10701 EAST BOULEVARD,,"CLEVELAND, OH 44106",Cuyahoga,668,2024,,,,,,,,,,,41.5134833,-81.6137074
VA Medical Center (646),678,23-V-0003,Class V - Veteran's Administration Hospital,Active,,"1ST FLOOR, BLDG 30",UNIVERSITY DRIVE C,"PITTSBURGH, PA 15240",Allegheny,678,2024,,,,,8,,,,,,,
VA Medical Center (650),679,15-V-0001,Class V - Veteran's Administration Hospital,Active,,830 CHALKSTONE AVENUE,,"PROVIDENCE, RI 02908",Providence,679,2024,,,,,,,,,,,41.8318027,-71.4327732
Department Of Veteran Affairs,680,13-V-0001,Class V - Veteran's Administration Hospital,Active,,RESEARCH SERVICE  151,215 NORTH MAIN STREET,"WHITE RIVER JCTN, VT 05009",Windsor,680,2024,,,,,,,,,,,,
VA Medical Center (652),681,52-V-0003,Class V - Veteran's Administration Hospital,Active,,1201 BROAD ROCK BOULEVARD,RESEARCH SERVICE 151,"RICHMOND, VA 23249",Richmond City,681,2024,,,,,6,,,52,,,37.4963453,-77.4656428
VA Medical Center (581),682,54-V-0002,Class V - Veteran's Administration Hospital,Active,,1540 SPRING VALLEY DRIVE,,"HUNTINGTON, WV 25704",Wayne,682,2024,,,,,,,,,,,38.3769702,-82.5181205
Indiana University of Pennsylvania,688,23-R-0173,Class R - Research Facility,Active,,212 Kopchick Hall,421 North Walk,"INDIANA, PA 15705",Indiana,688,2024,,,,,11,,,,,,,
IIT Research Institute,694,33-R-0008,Class R - Research Facility,Active,,10 WEST 35TH STREET,,"CHICAGO, IL 60616",Cook,694,2024,356,,,,4,50,,18,,,41.8313472,-87.6273198
Bartons West End Farms Inc,701,22-R-0147,Class R - Research Facility,Active,,161 Janes Chapel Road,,"Oxford, NJ 07863",Warren,701,2024,,,,,,,,93,,,40.8210426,-74.986549
Southern Illinois University School of Medicine,707,33-R-0113,Class R - Research Facility,Active,,Division Of Lab Animal Med,825 N Rutledge St P.O. Box 19611,"SPRINGFIELD, IL 62794",Sangamon,707,2024,,,,,,,,3,,,,
Jesse Brown Va Medical Center (535) (RESEARCH SERVICES 151),709,33-V-0002,Class V - Veteran's Administration Hospital,Active,,RESEARCH SERVICES MAILSTOP 151,820 S DAMEN,"CHICAGO, IL 60612",Cook,709,2024,,,,,,,,,,,,
Naval Medical Center,726,52-F-0004,Class F - Federal Research Facility,Active,,CID BLDG 274 CODE 14IV71,620 JOHN PAUL JONES CIRCLE,"PORTSMOUTH, VA 23708",Portsmouth City,726,2024,,,,,,,,65,,,,
US Army Med Research Inst Of Infectious Disease,728,51-F-0021,Class F - Federal Research Facility,Active,,USAMRIID/OAWC 1425 Porter Street,,"FREDERICK, MD 21702",Frederick,728,2024,,,878,623,76,224,,16,,,,
VA Medical Center (506),739,34-V-0002,Class V - Veteran's Administration Hospital,Active,,2215 FULLER ROAD,,"ANN ARBOR, MI 48105",Washtenaw,739,2024,,,,,,,,10,,,42.2861215,-83.7145253
Baltimore VA Medical Center,742,51-V-0010,Class V - Veteran's Administration Hospital,Active,,10 North Greene Street,,"Baltimore, MD 21201",Baltimore city,742,2024,,,,,,,,,,,39.2896683,-76.6244938
Thomas D Morris Inc (MEADOW CREEK FARM),745,51-R-0046,Class R - Research Facility,Active,,4001 MILLENDER MILL ROAD,,"REISTERSTOWN, MD 21136",Baltimore,745,2024,,,,,,,53,45,,,39.5440575,-76.7869485
Capralogics Inc,749,14-R-0156,Class R - Research Facility,Active,,PO Box 356,,"Hardwick, MA 01037",Worcester,749,2024,,,,,931,,4,,315,,42.349309,-72.1992783
Johnson College,759,23-R-0067,Class R - Research Facility,Active,,3427 N MAIN AVENUE,,"SCRANTON, PA 18508",Lackawanna,759,2024,4,8,,,2,,,,,,41.4492937,-75.6395236
Ridglan Farms Inc,769,35-R-0004,Class R - Research Facility,Active,,PO Box 318,,"Mount Horeb, WI 53572",Dane,769,2024,757,,,,,,,,,,43.0086183,-89.7384557
University of Notre Dame,776,32-R-0016,Class R - Research Facility,Active,,"Notre Dame Research, 317 Main Building",,"Notre Dame, IN 46556",St. Joseph,776,2024,,,,25,,,,,,,,
Purdue University (Laboratory Animal Program),779,32-R-0007,Class R - Research Facility,Active,,516 Northwestern Avenue,"Wang Hall, Room 4564","West Lafayette, IN 47906",Tippecanoe,779,2024,102,3,,,41,,101,238,88,,40.4307049,-86.913023
Bioanalytical Systems Inc,784,32-R-0020,Class R - Research Facility,Active,,10424 MIDDLE MT. VERNON RD,,"MOUNT VERNON, IN 47620",Posey,784,2024,723,,,,,587,,92,,,,
Indiana University Indianapolis School of Science,788,32-R-0015,Class R - Research Facility,Active,,"SCHOOL OF SCIENCE, 402 N BLACKFORD ST, LD222",,"INDIANAPOLIS, IN 46202",Marion,788,2024,,,,,,,,,,,,
University Of Wisconsin-Oshkosh,795,35-R-0111,Class R - Research Facility,Active,,OFFICE OF SPONSORED PROGRAMS,800 ALGOMA BLVD,"OSHKOSH, WI 54901",Winnebago,795,2024,,,,,,,,,,,,
Indiana University - Indianapolis,798,32-R-0025,Class R - Research Facility,Active,,"980 Indiana Ave., L V 3313",,"INDIANAPOLIS, IN 46202",Marion,798,2024,,,,,20,,,86,,,,
Indiana University at Bloomington,799,32-R-0002,Class R - Research Facility,Active,,"107 S. Indiana Ave, Bryan Hall 300",,"BLOOMINGTON, IN 47405",Monroe,799,2024,,,,235,,,,,,,,
Indiana University Southeast,803,32-R-0057,Class R - Research Facility,Cancelled,,4201 Grant Lane Road,,"New Albany, IN 47150",Floyd,803,2024,,,,,,,,,,,,
Illinois Wesleyan University,810,33-R-0001,Class R - Research Facility,Active,,P O BOX 2900,,"BLOOMINGTON, IL 61702",McLean,810,2024,,,,,,,,,,,40.4797828,-88.9939147
North Carolina A&T State University,813,55-R-0022,Class R - Research Facility,Active,,LAB. ANIMAL RESOURCE UNIT,116 WEBB HALL,"GREENSBORO, NC 27411",Guilford,813,2024,,,,,,,,,,,,
Integrated Laboratory Systems LLC (Inotiv Company),815,55-R-0108,Class R - Research Facility,Active,,601 Keystone Park Drive,Suite 200,"Morrisville, NC 27560",Durham,815,2024,,,,,,,,,,,35.8724847,-78.855957
East Carolina University,819,55-R-0010,Class R - Research Facility,Active,,"DEPT OF COMPARATIVE MED, SCHOOL OF MED",212 LIFE SCIENCES BLDG,"GREENVILLE, NC 27834",Pitt,819,2024,,,,,,,,,,,,
Greer Laboratories Inc (ALBION MEDICAL HOLDINGS INC),821,55-R-0013,Class R - Research Facility,Active,,639 NUWAY CIRCLE N E,P O BOX 800,"LENOIR, NC 28645",Caldwell,821,2024,,,2224,,,,,,,,,
Wake Forest University,825,55-R-0001,Class R - Research Facility,Active,,Medical Center Blvd,,"Winston Salem, NC 27157",Forsyth,825,2024,,12,,95,106,933,55,202,,,36.089185,-80.2712681
University Of North Carolina (@ CHAPEL HILL),826,55-R-0004,Class R - Research Facility,Active,,312 SOUTH BUILDING CB#4000,,"CHAPEL HILL, NC 27599",Orange,826,2024,203,,,39,77,8,,57,,,,
University of Alabama at Birmingham,832,64-R-0004,Class R - Research Facility,Active,,720 ADMINISTRATION BLDG,1530 3RD AVENUE SOUTH,"BIRMINGHAM, AL 35294",Jefferson,832,2024,,,,153,25,25,,207,,,,
Auburn University,833,64-R-0005,Class R - Research Facility,Active,,Office of Vice Pres for research,202 Samford Hall,"Auburn, AL 36849",Lee,833,2024,38,52,,,,,10,74,174,,,
University of Alabama,834,64-R-0009,Class R - Research Facility,Active,,358 ROSE ADMINISTRATION,BOX 870127,"TUSCALOOSA, AL 35487",Tuscaloosa,834,2024,,,,,,,,,,,,
Southern Biotechnology Associates Inc,835,64-R-0018,Class R - Research Facility,Active,,PO Box 26221,,"Birmingham, AL 35260",Jefferson,835,2024,,,,,63,,,,138,,50.1045503,8.5750529
Mississippi State University,837,65-R-0002,Class R - Research Facility,Active,,PO BOX 6343,301 Research Blvd,"MISSISSIPPI STATE, MS 39762",Oktibbeha,837,2024,38,,,,,,11,,117,,33.4386876,-88.7943232
University Of Mississippi,839,65-R-0001,Class R - Research Facility,Active,,Vice Chancellor for Research & Sponsored Programs,100 Barr Hall,"UNIVERSITY, MS 38677",Lafayette,839,2024,,,,,,,,,,,,
University Of Tennessee - Memphis,841,63-R-0107,Class R - Research Facility,Active,,Office of Animal Care and use,910 Madison avenue Suite 650,"MEMPHIS, TN 38163",Shelby,841,2024,,,,46,62,12,,,,,,
North Carolina State University,842,55-R-0005,Class R - Research Facility,Active,,CAMPUS BOX 7514,,"RALEIGH, NC 27695",Wake,842,2024,41,48,18,,17,,36,392,312,,,
Univ Of Tennessee Knoxville Off Lab An Care,843,63-R-0105,Class R - Research Facility,Active,,2415 Fletcher Luck Lane,Third Creek Building,"KNOXVILLE, TN 37996",Knox,843,2024,27,,,443,15,,12,64,241,,35.9459561,-83.9376003
University Of Mississippi Medical Center,844,65-R-0102,Class R - Research Facility,Active,,2500 N. STATE STREET,,"JACKSON, MS 39216",Hinds,844,2024,,,8,,98,111,,,,,32.3309299,-90.1723002
St Jude Childrens Research Hospital,845,63-R-0007,Class R - Research Facility,Active,,262 DANNY THOMAS PLACE,,"MEMPHIS, TN 38105",Shelby,845,2024,,,,116,22,,,,,,35.1543896,-90.042221
Columbia State Community College,846,63-R-0014,Class R - Research Facility,Active,,1665 Hampshire Pike,,"Columbia, TN 38401",Maury,846,2024,,,,,1,,,,5,,35.6185116,-87.10087
Lincoln Memorial University,847,63-R-0019,Class R - Research Facility,Active,,6965 CUMBERLAND GAP PKWY,,"HARROGATE, TN 37752",Claiborne,847,2024,198,39,,,,,,,97,,36.5718381,-83.661624
Meharry Medical College (ANIMAL CARE FACILITY),851,63-R-0002,Class R - Research Facility,Active,,"1005 D.B. TODD JR BOULEVARD, ANI CARE FAC",,"NASHVILLE, TN 37208",Davidson,851,2024,,,,,,,,,,,,
University of Memphis,852,63-R-0006,Class R - Research Facility,Active,,Executive Vice President for Research & Innovation,365 Innovation Drive,"MEMPHIS, TN 38152",Shelby,852,2024,,,,176,,,,,,,,
East Tennessee State University,853,63-R-0011,Class R - Research Facility,Active,,P.O. BOX 70418,,"JOHNSON CITY, TN 37614",Washington,853,2024,,,,,,,,,,,,
University Of South Alabama (COLLEGE OF MEDICINE),854,64-R-0008,Class R - Research Facility,Active,,DEPT OF COMPARATIVE MEDICINE,992 MSB,"MOBILE, AL 36688",Mobile,854,2024,,,19,,2,,,,,,,
Tuskegee University,857,64-R-0002,Class R - Research Facility,Active,,101 Chappie James Center,,"TUSKEGEE, AL 36088",Macon,857,2024,,,,,,,,,116,,,
University of Florida,859,58-R-0003,Class R - Research Facility,Active,,P.O. BOX 115500,,"GAINESVILLE, FL 32611",Alachua,859,2024,722,352,,,,,18,59,306,,,
MURRAY STATE UNIVERSITY,860,61-R-0008,Class R - Research Facility,Active,,328 WELLS HALL,,"MURRAY, KY 42071",Calloway,860,2024,29,34,,,,,,20,86,,,
Central Carolina Community College,862,55-R-0019,Class R - Research Facility,Active,,1105 KELLY DRIVE,,"SANFORD, NC 27330",Lee,862,2024,31,27,,,,,,,8,,35.4704299,-79.1438842
Duke University,863,55-R-0003,Class R - Research Facility,Active,,Office Of Animal Welfare Assurance,2424 Erwin Rd Ste 606,"Durham, NC 27705",Durham,863,2024,23,,,282,319,188,,276,,,,
The Mannheimer Foundation Inc,868,58-R-0021,Class R - Research Facility,Active,,20255 S W 360 STREET,,"HOMESTEAD, FL 33034",Miami-Dade,868,2024,,,,,,323,,,,,,
Mount Sinai Medical Center (Harry Pearlman Biomedical Research Institute),871,58-R-0005,Class R - Research Facility,Active,,4300 ALTON RD.,,"MIAMI BEACH, FL 33140",Miami-Dade,871,2024,,,,,,,20,22,,,25.8133808,-80.1408734
University Of Miami,872,58-R-0007,Class R - Research Facility,Active,,U OF MIAMI SCHOOL OF MED (R64),P.O. BOX 016960,"MIAMI, FL 33101",Miami-Dade,872,2024,,,,4,,11,,221,2,,,
Florida State University,873,58-R-0001,Class R - Research Facility,Active,,107 Chieftan Way,LAB ANML RSCS 101 BIOMED RSCH FAC,"TALLAHASSEE, FL 32306",Leon,873,2024,,,,,,,,,,,30.4443994,-84.3018498
Florida A&M University,874,58-R-0012,Class R - Research Facility,Active,,1700 LEE HALL DR,410 FOOTE HILYER ADMIN CTR,"TALLAHASSEE, FL 32307",Leon,874,2024,,,,,,,,,,,30.4259241,-84.2822742
University of Central Florida,875,58-R-0174,Class R - Research Facility,Active,,6900 Lake Nona Blvd.,,"Orlando, FL 32827",Orange,875,2024,,,,,,,,,,,28.3678206,-81.2795966
Southern Research Institute,878,64-R-0001,Class R - Research Facility,Active,,2000 NINTH AVENUE SOUTH,P.O. BOX 55305,"BIRMINGHAM, AL 35255",Jefferson,878,2024,6,,,302,,121,,,,,,
Morehouse School Of Medicine,883,57-R-0124,Class R - Research Facility,Active,,720 WESTVIEW DRIVE SW,,"ATLANTA, GA 30310",Fulton,883,2024,,,,,,,,,,,33.742984,-84.4120247
TRS Labs Inc,884,57-R-0015,Class R - Research Facility,Active,,PO Box 168,,"Watkinsville, GA 30677",Oconee,884,2024,613,38,,,,,,,,,33.8628959,-83.4087709
Fort Valley State University,885,57-R-0017,Class R - Research Facility,Active,,PO BOX 4370,DEPARTMENT OF VETERINARY SCIENCE,"FORT VALLEY, GA 31030",Peach,885,2024,6,9,7,,4,,,,11,,32.5537585,-83.8874084
Morehead State University,888,61-R-0004,Class R - Research Facility,Active,,901 GINGER HALL,,"MOREHEAD, KY 40351",Rowan,888,2024,110,55,,,14,,40,200,160,,,
Georgia Institute of Technology,891,57-R-0010,Class R - Research Facility,Active,,"Office of Research Integrity Assurance, 926 Dalney St NW",,"ATLANTA, GA 30332",Fulton,891,2024,,6,2,,36,,,,,,,
Augusta University,895,57-R-0002,Class R - Research Facility,Active,,1120 15th St,CJ-1036,"Augusta, GA 30912",Richmond,895,2024,,,,,3,10,,12,,,33.4694103,-81.9884196
Emory University,896,57-R-0003,Class R - Research Facility,Active,,IACUC Administration 1599 Clifton Road NE - 4th Floor. Mailstop: 1599-001-1BE,,"Atlanta, GA 30332",DeKalb,896,2024,,,315,269,,1732,,168,,,,
University Of Louisville,897,61-R-0001,Class R - Research Facility,Active,,511 S Floyd St Research Resources,,"LOUISVILLE, KY 40202",Jefferson,897,2024,,,80,319,54,,2,220,,,,
University Of Kentucky,898,61-R-0002,Class R - Research Facility,Active,,OFFICE OF THE ATTENDING VETERINARIAN,"445 BOWMAN HALL, 151 WASHINGTON AVE","LEXINGTON, KY 40506",Fayette,898,2024,50,,,,,64,7,12,,,,
University of Georgia,900,57-R-0005,Class R - Research Facility,Active,,212 TUCKER HALL,310 EAST CAMPUS ROAD,"ATHENS, GA 30602",Clarke,900,2024,94,99,,581,42,104,,663,195,,,
University Of South Carolina (At Columbia),901,56-R-0003,Class R - Research Facility,Active,,OFFICE OF RESEARCH COMPLIANCE,,"COLUMBIA, SC 29208",Richland,901,2024,20,,,,,,,,,,,
Tri-County Technical College,902,56-R-0004,Class R - Research Facility,Active,,VETERINARY TECHOLOGY DEPT,"7900 HWY 76, PO BOX 587","PENDLETON, SC 29670",Anderson,902,2024,,,2,,12,,,,,,,
Benedict College,903,56-R-0114,Class R - Research Facility,Active,,DEPARTMENT OF BIOLOGY,1600 HARDEN STREET,"COLUMBIA, SC 29204",Richland,903,2024,,,,22,,,,,,,,
Alpha Genesis Inc,905,56-R-0105,Class R - Research Facility,Active,,95 CASTLE HALL RD,,"YEMASSEE, SC 29945",Beaufort,905,2024,,,,,,431,,,,,32.6846173,-80.8452473
Georgia State University,907,57-R-0012,Class R - Research Facility,Active,,58 EDGEWOOD AVENUE NE,,"ATL, GA 30303",Fulton,907,2024,,,,2422,,42,,,,,,
Florida Atlantic University,908,58-R-0170,Class R - Research Facility,Active,,Davie Campus West,3200 College Avenue,"Davie, FL 33314",Broward,908,2024,,,,,,,,,,,,
Mote Marine Laboratory,909,58-R-0041,Class R - Research Facility,Active,,1600 Ken Thompson Parkway,,"Sarasota, FL 34236",Sarasota,909,2024,,,,,,,,,,,27.3328567,-82.5772729
Mercer University,910,57-R-0004,Class R - Research Facility,Active,,1501 MERCER UNIVERSITY DRIVE,,"MACON, GA 31207",Jones,910,2024,,,,,12,,,,,,32.8259633,-83.6546847
St Petersburg College,914,58-R-0023,Class R - Research Facility,Active,,12376 ULMERTON ROAD,,"LARGO, FL 33774",Pinellas,914,2024,194,210,,,58,,,,,,27.8827837,-82.8127737
Medical University of South Carolina,925,56-R-0001,Class R - Research Facility,Active,,DIV OF LAB ANIMAL RES/DEPT OF COMPARATIVE MEDICINE,"114 DOUGHTY STREET, MSC 777","CHARLESTON, SC 29425",Charleston,925,2024,,,6,,3,,,51,,,,
Clemson University (Godley Snell Research Center),926,56-R-0002,Class R - Research Facility,Active,,"391 College Ave, Suite 406",,"Clemson, SC 29631",Pickens,926,2024,,,,,,,,31,38,,,
Blue Ridge Kennel,928,64-R-0102,Class R - Research Facility,Active,,P.O. Box 1207,,"Wetumpka, AL 36092",Elmore,928,2024,104,,,,,,,,,,,
University Of South Florida,930,58-R-0015,Class R - Research Facility,Active,,12901 BRUCE B DOWNS BLVD MDC 20,,"TAMPA, FL 33612",Hillsborough,930,2024,,,32,43,13,,,78,,,,
Bay Pines VA Healthcares System (VA Medical Center),931,58-V-0003,Class V - Veteran's Administration Hospital,Cancelled,,DEPT OF VETERANS AFFAIRS,,"BAY PINES, FL 33744",Pinellas,931,2024,,,,,,,,,,,,
VA Medical Center #546,933,58-V-0005,Class V - Veteran's Administration Hospital,Active,,RESEARCH ADMINISTRATION (546/151),1201 NW 16TH ST.,"MIAMI, FL 33125",,933,2024,,,,,,,,,,,,
Robley Rex VA Medical Center (603),935,61-V-0002,Class V - Veteran's Administration Hospital,Cancelled,,800 Zorn Avenue,Mailstop 151,"Louisville, KY 40206",Jefferson,935,2024,,,,,,,,,,,38.2708365,-85.6975316
VA Medical Center,936,61-V-0003,Class V - Veteran's Administration Hospital,Active,,1101 Veterans Dr,,"Lexington, KY 40511",Fayette,936,2024,,,,,,,,,,,38.0297516,-84.5066808
CTR For Disease CNTL & PREV,947,57-F-0004,Class F - Federal Research Facility,Active,,1600 CLIFTON ROAD NE   MS D/14,,"ATLANTA, GA 30333",DeKalb,947,2024,174,41,258,128,74,175,,,23,,,
Dept Clinical Investigation,948,57-F-0003,Class F - Federal Research Facility,Active,,DWIGHT DAVID EISENHOWER AMC,,"FORT GORDON, GA 30905",Columbia,948,2024,,,,,,,,87,,,,
Malcom Randall VA Medical Center,949,58-V-0007,Class V - Veteran's Administration Hospital,Active,,ACOS/R&D,1601 Southwest Archer Road,"Gainesville, FL 32608",Alachua,949,2024,,,,,,,,,,,,
University of Southern Mississippi,953,65-R-0505,Class R - Research Facility,Active,,118 College Drive #5116,,"Hattiesburg, MS 39406",Forrest,953,2024,,,,12,,,6,,,,,
Special Warfare Medical Group (Airborne),955,55-F-0007,Class F - Federal Research Facility,Active,,U S ARMY J F K S W C S,"3004 ARDENNES ST, STOP A, AOJK-MED","FORT BRAGG, NC 28310",Cumberland,955,2024,,,,,,,,590,3388,,,
G.V. (Sonny) Montgomery VA Medical Center,956,65-V-0002,Class V - Veteran's Administration Hospital,Active,,1500 E. Woodrow Wilson Drive,,"Jackson, MS 39216",Hinds,956,2024,,,,,,,,,,,,
University of Puerto Rico,960,94-R-0109,Class R - Research Facility,Active,,PO Box 365067 - Medical Science Campus,,"San Juan, PR 00936",San Juan,960,2024,,,,,20,4284,,5,,,,
US Environmental Protection Agency,962,55-F-0001,Class F - Federal Research Facility,Active,,US EPA/ORD/ ORM,109 T W ALEXANDER DR,"RESEARCH TRIANGLE PARK, NC 27701",Durham,962,2024,,,,,3,,,,,,,
81St Medical Group (81 M D S S / S G S E),963,65-F-0001,Class F - Federal Research Facility,Cancelled,,CLINICAL RESEARCH LABORATORY,MDTS/SGQR 301 FISHER STREET RM GA144,"KEESLER AFB, MS 39534",Harrison,963,2024,,,,,,,,82,2,,,
Oak Ridge National Laboratory,965,63-F-0001,Class F - Federal Research Facility,Active,,P.O. BOX 2008,Neutron Scattering Division,"Oak Ridge, TN 37831",Anderson,965,2024,,,,,,,,,,,,
Space Station Processing Facility Science Annex,966,58-F-0009,Class F - Federal Research Facility,Active,,SPACE STATION PROCESSING FACILITY,MAIL CODE: TOSC-313,"ORLANDO, FL 32899",Brevard,966,2024,,,,,,,,,,,,
Durham VA Medical Center,982,55-V-0003,Class V - Veteran's Administration Hospital,Active,,508 Fulton Street,RESEARCH SERVICE (151),"Durham, NC 27705",Durham,982,2024,,,,,,,,,,,36.0112087,-78.9371201
Ralph H. Johnson VA Medical Center (RALPH H JOHNSON VAMC),985,56-V-0002,Class V - Veteran's Administration Hospital,Active,,109 Bee Street,,"Charleston, SC 29401",Charleston,985,2024,,,,,,,,,,,32.7840708,-79.954069
WJB Dorn Veterans Hospital,986,56-V-0003,Class V - Veteran's Administration Hospital,Active,,RSRCH & DEV SER LINE 6439 GARNERS FERRY RD,,"COLUMBIA, SC 29209",Richland,986,2024,,,,,,,,32,,,,
VA MEDICAL CENTER (151),987,57-V-0001,Class V - Veteran's Administration Hospital,Active,,RESEARCH SERVICE (151) 1670 CLAIRMONT ROAD,,"DECATUR, GA 30033",DeKalb,987,2024,,,,,10,,,,,,,
Gaston College Vet Tech Program,988,55-R-0114,Class R - Research Facility,Active,,201 HIGHWAY 321 SOUTH,,"DALLAS, NC 28034",Gaston,988,2024,,,,,7,,,,,,,
Augusta VA Medical Center,1007,57-V-0002,Class V - Veteran's Administration Hospital,Active,,One Freedom Way,Research and Development 509/24,"Augusta, GA 30904",Richmond,1007,2024,,,,,,,,,,,33.4670877,-82.025675
Medical Education & Research Institute,1009,63-R-0113,Class R - Research Facility,Active,,44 S. CLEVELAND,,"MEMPHIS, TN 38104",Shelby,1009,2024,,,,,,,,47,,,35.1375638,-90.0164702
University of Washington,1016,91-R-0001,Class R - Research Facility,Active,,Box 357160,,"Seattle, WA 98195",King,1016,2024,17,,,22,123,464,,136,20,,,
Western Washington University,1022,91-R-0017,Class R - Research Facility,Active,,516 HIGH STREET - MS 9038,,"BELLINGHAM, WA 98225",Whatcom,1022,2024,,,,,,,,,,,,
Pierce College (Veterinary Technology Dept.),1023,91-R-0018,Class R - Research Facility,Active,,9401 FARWEST DRIVE S.W.,,"LAKEWOOD, WA 98498",Pierce,1023,2024,13,14,,,6,,,,5,,,
Washington State University,1026,91-R-0002,Class R - Research Facility,Active,,Office of Research Assurances 100 Dairy Rd. Mail Stop 3143,,"Pullman, WA 99164-3143",Whitman,1026,2024,,,,,5,,2,56,138,,,
Arizona State University,1043,86-R-0002,Class R - Research Facility,Active,,550 E. Orange St.  ISTB1-122,,"TEMPE, AZ 85287",Maricopa,1043,2024,,9,,,2,57,,2,,,,
The University of Arizona (University Animal Care),1044,86-R-0003,Class R - Research Facility,Active,,"1501 N. Campbell Ave., Room 1126",PO Box 245092,"Tucson, AZ 85724",Pima,1044,2024,,,,22,114,12,109,32,78,,32.241234,-110.9456042
Northern Arizona University (Biological Sciences Annex),1045,86-R-0005,Class R - Research Facility,Active,,Box 5640,,"FLAGSTAFF, AZ 86011",Coconino,1045,2024,,,,,,,,34,,,,
Oregon Health and Science University,1046,92-R-0001,Class R - Research Facility,Active,,"3181 S W Sam Jackson Park Rd., #L335",,"Portland, OR 97239",Multnomah,1046,2024,12,,37,,23,1371,38,43,,,,
Dignity Health (ST. JOSEPH HOS & MED. CTR./BARROW NEUR. INST.),1049,86-R-0006,Class R - Research Facility,Active,,350 WEST THOMAS RD.,,"PHOENIX, AZ 85013",Maricopa,1049,2024,,,,,17,,,16,,,33.4822386,-112.0800526
W. L. Gore & Associates Inc.,1051,86-R-0009,Class R - Research Facility,Active,,1505 N. FOURTH STREET,,"FLAGSTAFF, AZ 86004",Coconino,1051,2024,,,,,68,,14,115,,,35.2028938,-111.6097415
University of Oregon,1052,92-R-0043,Class R - Research Facility,Active,,5218 University of Oregon,,"Eugene, OR 97403",Lane,1052,2024,,,,,6,,,,,,,
Portland Community College,1055,92-R-0022,Class R - Research Facility,Active,,PO BOX 19000/12000 SW 49TH AVE,,"PORTLAND, OR 97219",Washington,1055,2024,21,20,,,4,,29,,13,,45.441398,-122.733741
George Fox University,1057,92-R-0031,Class R - Research Facility,Cancelled,,414 N. MERIDIAN STREET,,"NEWBERG, OR 97132",Yamhill,1057,2024,,,,,,,,,,,45.3038562,-122.9665912
University of Montana,1067,81-R-0001,Class R - Research Facility,Active,,DEPT. LAB. ANIMAL RESOURCES,,"MISSOULA, MT 59812",Missoula,1067,2024,,,,9,,,,,,,,
Montana State University,1069,81-R-0002,Class R - Research Facility,Active,,P. O. BOX 173640,,"BOZEMAN, MT 59717",Gallatin,1069,2024,,,,,,,17,,5,,,
University Of New Mexico - Main Campus,1071,85-R-0002,Class R - Research Facility,Active,,Office of A C Compliance 1 Univ of N M,"Health Sciences Center, BRFG37H, MSC 08 4560","ALBUQUERQUE, NM 87131",Bernalillo,1071,2024,,,,18,,,,,,,,
Lovelace Biomedical Research Institute,1072,85-R-0003,Class R - Research Facility,Active,,2425 Ridgecrest Dr SE,,"Albuquerque, NM 87108",Bernalillo,1072,2024,503,,,2,126,709,,240,,,35.0559052,-106.5793471
New Mexico State University,1073,85-R-0009,Class R - Research Facility,Active,,Research MSC 3RES,PO Box 30001,"LAS CRUCES, NM 88003",Dona Ana,1073,2024,,,,,,,,,,,,
